pid,Appliance_Type,Brand,kWh.yr,EER_Energy_Efficiency_Ratio,SEER_Seasonal_Energy_Efficiency_Ratio,Cooling_Capacity_BTUs,Energy_Star,Size,Product_Width_.in..,Product_Depth_.in..,Product_Height_.in..,Product_Volume_.cu._in..
04238575000P,Accessories,Kenmore,-,-,-,-,-,-,-,-,-,-
04275251000P,Window Air Conditioners,Kenmore,0,9,-,24500,No,-,-,-,-,-
04298017000P,Air Purifiers & Dehumidifiers,AMCOR,-,-,-,-,Yes,8.5 in. W x 6.25 in. D x 13 in. H,8.5,6.25,13,690.625
04219300000P,Air Purifiers & Dehumidifiers,SPT,-,-,-,-,Yes,13.4 in. W x 10 in. D x 20 in. H,13.4,10,20,2680
04280050000P,Window Air Conditioners,Frigidaire,420,10.7,-,5000,No,16 in. W x 11 in. D x 12 in. H,16,11,12,2112
04234377000P,Accessories,Kenmore,-,-,-,-,-,-,-,-,-,-
04234823000P,Water Coolers & Filter Systems,Kenmore,-,-,-,-,-,-,-,-,-,-
04271123000P,Window Air Conditioners,Kenmore,945,9.5,-,12000,No,14.5 in. W x 22 in. D x 20.25 in. H,14.5,22,20.25,6459.75
04298035000P,Portable Air Conditioners,Whynter,-,-,-,12000,-,-,-,-,-,-
04201080000P,Accessories,LG,-,-,-,-,-,-,-,-,-,-
04299998000P,Accessories,Pur,-,-,-,-,-,-,-,-,-,-
04201024000P,Window Air Conditioners,Frigidaire,695,10.8,-,12000,No,19 in. W x 19.75 in. D x 14.4 in. H,19,19.75,14.4,5403.6
04280008000P,Accessories,Frigidaire,-,-,-,-,-,-,-,-,-,-
04250351000P,Air Purifiers & Dehumidifiers,Kenmore,-,-,-,-,Yes,13 in. W x 9.25 in. D x 20.75 in. H,13,9.25,20.75,2495.1875
04233102000P,Accessories,Kenmore,-,-,-,-,-,-,-,-,-,-
04274900000P,Portable Air Conditioners,Royal Sovereign,680,11,-,9000,No,15.75 in. W x 14.75 in. D x 29.5 in. H,15.75,14.75,29.5,6853.21875
04201110000P,Window Air Conditioners,LG,0,10.8,-,12000,No,19 in. W x 22.6 in. D x 14 in. H,19,22.6,14,6011.6
04238460000P,Accessories,Kenmore,-,-,-,-,-,-,-,-,-,-
04234477000P,Accessories,Kenmore,-,-,-,-,-,-,-,-,-,-
04238440000P,Water Coolers & Filter Systems,Kenmore,-,-,-,-,-,-,-,-,-,-
04238827000P,Water Softeners,Kenmore,-,-,-,-,-,16.5 in. W x 19.75 in. D x 47.75 in. H,16.5,19.75,47.75,15560.53125
04280086000P,Portable Air Conditioners,Soleus Air,-,8.6,-,8000,No,11.8 in. W x 13.6 in. D x 31 in. H,11.8,13.6,31,4974.88
04201027000P,Window Air Conditioners,Frigidaire,1260,10.7,-,18500,Yes,26 in. W x 26.84 in. D x 16.84 in. H,26,26.84,16.84,11751.6256
04275151000P,Wall Air Conditioners,Kenmore,-,-,-,15000,-,-,-,-,-,-
04219651000P,Air Purifiers & Dehumidifiers,Sunpentown,-,-,-,-,No,-,-,-,-,-
04238306000P,Water Softeners,Kenmore,-,-,-,-,-,16.5 in. W x 19.75 in. D x 47.75 in. H,16.5,19.75,47.75,15560.53125
